Casos,Tamaño 10,Tamaño 20,Tamaño 30,Tamaño 40,Tamaño 50,Tamaño 60,Tamaño 70,Tamaño 80,Tamaño 90,Tamaño 100,Tamaño 110,Tamaño 120,Tamaño 130,Tamaño 140,Tamaño 150,Tamaño 160,Tamaño 170,Tamaño 180,Tamaño 190,Tamaño 200,Tamaño 210,Tamaño 220,Tamaño 230,Tamaño 240,Tamaño 250,Tamaño 260,Tamaño 270,Tamaño 280,Tamaño 290,Tamaño 300,Tamaño 310,Tamaño 320,Tamaño 330,Tamaño 340,Tamaño 350,Tamaño 360,Tamaño 370,Tamaño 380,Tamaño 390,Tamaño 400,Tamaño 410,Tamaño 420,Tamaño 430,Tamaño 440,Tamaño 450,Tamaño 460,Tamaño 470,Tamaño 480,Tamaño 490,Tamaño 500,Tamaño 510,Tamaño 520,Tamaño 530,Tamaño 540,Tamaño 550,Tamaño 560,Tamaño 570,Tamaño 580,Tamaño 590,Tamaño 600,Tamaño 610,Tamaño 620,Tamaño 630,Tamaño 640,Tamaño 650,Tamaño 660,Tamaño 670,Tamaño 680,Tamaño 690,Tamaño 700,Tamaño 710,Tamaño 720,Tamaño 730,Tamaño 740,Tamaño 750,Tamaño 760,Tamaño 770,Tamaño 780,Tamaño 790,Tamaño 800,Tamaño 810,Tamaño 820,Tamaño 830,Tamaño 840,Tamaño 850,Tamaño 860,Tamaño 870,Tamaño 880,Tamaño 890,Tamaño 900,Tamaño 910,Tamaño 920,Tamaño 930,Tamaño 940,Tamaño 950,Tamaño 960,Tamaño 970,Tamaño 980,Tamaño 990,Tamaño 1000
Caso 1,0.0000027,0.0000008,0.0000012,0.0000018,0.0000029,0.0000035,0.0000043,0.0000043,0.0000074,0.0000088,0.0000104,0.0000087,0.0000105,0.0000175,0.0000184,0.0000202,0.0000200,0.0000232,0.0000254,0.0000277,0.0000284,0.0000306,0.0000267,0.0000289,0.0000402,0.0000359,0.0000657,0.0000434,0.0000609,0.0000459,0.0000490,0.0000809,0.0000557,0.0000589,0.0000784,0.0000724,0.0000825,0.0000724,0.0000761,0.0001283,0.0000838,0.0000976,0.0001096,0.0000951,0.0001173,0.0001008,0.0001059,0.0001875,0.0001772,0.0001846,0.0002743,0.0001366,0.0003458,0.0001442,0.0001508,0.0001503,0.0001564,0.0001606,0.0001657,0.0001716,0.0001785,0.0001835,0.0001953,0.0002018,0.0002097,0.0002089,0.0002137,0.0002392,0.0002656,0.0002357,0.0002426,0.0002791,0.0002988,0.0002634,0.0002676,0.0002780,0.0002853,0.0004666,0.0003124,0.0003073,0.0003143,0.0004052,0.0003318,0.0003374,0.0003393,0.0003651,0.0004062,0.0004365,0.0007278,0.0004260,0.0004578,0.0004126,0.0004166,0.0006799,0.0006059,0.0007364,0.0006825,0.0009354,0.0004793,0.0004897,
Caso 2,0.0000003,0.0000005,0.0000008,0.0000014,0.0000024,0.0000025,0.0000032,0.0000040,0.0000047,0.0000056,0.0000071,0.0000119,0.0000123,0.0000186,0.0000241,0.0000217,0.0000234,0.0000249,0.0000332,0.0000300,0.0000346,0.0000301,0.0000393,0.0000454,0.0000496,0.0000516,0.0000549,0.0000719,0.0000640,0.0000683,0.0000729,0.0000771,0.0000805,0.0000834,0.0000707,0.0000926,0.0000646,0.0000692,0.0000862,0.0000772,0.0000800,0.0000833,0.0000863,0.0000917,0.0000962,0.0000997,0.0001048,0.0001093,0.0001151,0.0001537,0.0001244,0.0001692,0.0001433,0.0001474,0.0001485,0.0001596,0.0001895,0.0001812,0.0001710,0.0001963,0.0001980,0.0004412,0.0001994,0.0001989,0.0002044,0.0002109,0.0002558,0.0002211,0.0002690,0.0003644,0.0002365,0.0003813,0.0003286,0.0003869,0.0004035,0.0002792,0.0002795,0.0002884,0.0004664,0.0003271,0.0005241,0.0003204,0.0005195,0.0003931,0.0003471,0.0003881,0.0003719,0.0005205,0.0003914,0.0006154,0.0006860,0.0004072,0.0004188,0.0006413,0.0005657,0.0004550,0.0004793,0.0004655,0.0007148,0.0004854,
Caso 3,0.0000003,0.0000004,0.0000008,0.0000012,0.0000021,0.0000021,0.0000027,0.0000033,0.0000044,0.0000071,0.0000088,0.0000106,0.0000129,0.0000161,0.0000181,0.0000189,0.0000214,0.0000251,0.0000278,0.0000287,0.0000358,0.0000283,0.0000757,0.0000311,0.0000367,0.0000712,0.0000760,0.0000853,0.0000722,0.0000818,0.0000705,0.0000848,0.0000864,0.0000796,0.0000827,0.0000896,0.0001008,0.0001150,0.0001052,0.0001197,0.0001206,0.0001483,0.0001768,0.0001425,0.0001668,0.0001704,0.0001354,0.0001233,0.0001915,0.0001699,0.0002623,0.0001339,0.0001442,0.0001703,0.0002352,0.0001520,0.0001576,0.0001877,0.0001801,0.0001810,0.0002040,0.0001918,0.0001983,0.0002032,0.0002105,0.0002176,0.0002342,0.0003185,0.0002374,0.0002474,0.0002535,0.0002582,0.0002655,0.0002872,0.0006728,0.0004412,0.0005998,0.0003049,0.0003147,0.0004616,0.0004742,0.0004425,0.0006747,0.0005575,0.0008104,0.0009593,0.0006786,0.0009290,0.0004476,0.0004018,0.0006566,0.0007285,0.0008831,0.0008216,0.0009111,0.0013567,0.0008211,0.0007255,0.0006642,0.0008497,
Caso 4,0.0000003,0.0000008,0.0000010,0.0000016,0.0000028,0.0000028,0.0000043,0.0000042,0.0000069,0.0000067,0.0000082,0.0000141,0.0000156,0.0000121,0.0000193,0.0000193,0.0000174,0.0000249,0.0000216,0.0000481,0.0000399,0.0000307,0.0000405,0.0000495,0.0000386,0.0000383,0.0001177,0.0000835,0.0000706,0.0001194,0.0000532,0.0000882,0.0000855,0.0001279,0.0000911,0.0001143,0.0001607,0.0000771,0.0001438,0.0001766,0.0001557,0.0001518,0.0007908,0.0001624,0.0002048,0.0001937,0.0001159,0.0001580,0.0001346,0.0002029,0.0003346,0.0002247,0.0002145,0.0005538,0.0002589,0.0003125,0.0002081,0.0002743,0.0001923,0.0002153,0.0002095,0.0003161,0.0003357,0.0003320,0.0003799,0.0002346,0.0003102,0.0002230,0.0002295,0.0002802,0.0002589,0.0002500,0.0002626,0.0002774,0.0002850,0.0003841,0.0003342,0.0004973,0.0008190,0.0005522,0.0010188,0.0006865,0.0014793,0.0011550,0.0008585,0.0014126,0.0007814,0.0005213,0.0004336,0.0006053,0.0006476,0.0004008,0.0004075,0.0006254,0.0004257,0.0006308,0.0007313,0.0005721,0.0004764,0.0005857,
Caso 5,0.0000005,0.0000011,0.0000015,0.0000023,0.0000034,0.0000044,0.0000064,0.0000103,0.0000098,0.0000118,0.0000136,0.0000153,0.0000174,0.0000259,0.0000311,0.0000345,0.0000307,0.0000226,0.0000201,0.0000219,0.0000320,0.0000289,0.0000459,0.0000430,0.0000356,0.0000353,0.0000378,0.0000409,0.0000432,0.0000458,0.0000492,0.0000635,0.0000537,0.0000713,0.0000738,0.0000649,0.0001395,0.0001175,0.0001324,0.0001544,0.0001434,0.0001093,0.0001132,0.0001173,0.0001755,0.0001157,0.0001816,0.0002280,0.0001805,0.0001348,0.0001309,0.0001369,0.0001439,0.0005227,0.0001630,0.0001597,0.0002000,0.0011320,0.0002030,0.0001983,0.0001894,0.0001961,0.0002553,0.0002880,0.0002259,0.0002102,0.0002157,0.0002228,0.0002288,0.0004619,0.0004423,0.0003905,0.0003037,0.0004171,0.0003521,0.0003142,0.0008577,0.0004492,0.0011237,0.0003244,0.0003906,0.0003405,0.0004787,0.0003481,0.0003862,0.0003638,0.0003699,0.0003792,0.0003865,0.0004084,0.0004800,0.0004159,0.0005342,0.0004537,0.0005320,0.0004681,0.0006296,0.0007024,0.0007978,0.0005179,
Caso 6,0.0000003,0.0000005,0.0000007,0.0000011,0.0000021,0.0000023,0.0000030,0.0000039,0.0000064,0.0000057,0.0000066,0.0000132,0.0000156,0.0000181,0.0000155,0.0000183,0.0000176,0.0000197,0.0000289,0.0000351,0.0000385,0.0000417,0.0000344,0.0000474,0.0000603,0.0000422,0.0000750,0.0000556,0.0000589,0.0000495,0.0000516,0.0000553,0.0000580,0.0000916,0.0000918,0.0000843,0.0000731,0.0001105,0.0000824,0.0000810,0.0001045,0.0001521,0.0000989,0.0001263,0.0001388,0.0001908,0.0001296,0.0002099,0.0001514,0.0001414,0.0001592,0.0002146,0.0002915,0.0002783,0.0005308,0.0003355,0.0002620,0.0004799,0.0001986,0.0001895,0.0002231,0.0003256,0.0002610,0.0002316,0.0003426,0.0002674,0.0003849,0.0003622,0.0003458,0.0002503,0.0002741,0.0002994,0.0002798,0.0002836,0.0002956,0.0003613,0.0006514,0.0005300,0.0004716,0.0005842,0.0003398,0.0006618,0.0003467,0.0003545,0.0003627,0.0003703,0.0004538,0.0003863,0.0004501,0.0004116,0.0004597,0.0004312,0.0005413,0.0004541,0.0004498,0.0005266,0.0010631,0.0005644,0.0006006,0.0004959,
Caso 7,0.0000005,0.0000005,0.0000018,0.0000022,0.0000031,0.0000043,0.0000067,0.0000059,0.0000069,0.0000479,0.0000097,0.0000079,0.0000098,0.0000109,0.0000146,0.0000133,0.0000148,0.0000166,0.0000191,0.0000209,0.0000458,0.0000441,0.0000423,0.0000443,0.0000474,0.0000574,0.0000621,0.0000634,0.0000702,0.0000703,0.0000817,0.0000640,0.0000575,0.0000918,0.0000904,0.0000993,0.0001224,0.0001196,0.0001465,0.0001369,0.0001335,0.0001581,0.0001634,0.0001496,0.0001571,0.0001647,0.0001810,0.0001358,0.0001654,0.0001719,0.0001372,0.0001556,0.0001466,0.0001527,0.0001589,0.0001637,0.0002022,0.0002050,0.0001755,0.0001860,0.0001864,0.0001920,0.0005097,0.0004310,0.0003156,0.0002137,0.0002262,0.0003926,0.0002334,0.0002389,0.0002474,0.0002933,0.0003956,0.0002886,0.0002713,0.0003659,0.0007932,0.0002954,0.0003035,0.0003430,0.0003168,0.0003236,0.0003313,0.0007069,0.0003482,0.0003591,0.0003690,0.0003855,0.0003877,0.0003931,0.0004772,0.0004101,0.0004325,0.0004295,0.0004403,0.0006954,0.0004575,0.0004858,0.0004761,0.0008870,
Caso 8,0.0000004,0.0000006,0.0000006,0.0000015,0.0000016,0.0000022,0.0000028,0.0000048,0.0000048,0.0000056,0.0000084,0.0000100,0.0000089,0.0000129,0.0000119,0.0000173,0.0000153,0.0000169,0.0000184,0.0000259,0.0000222,0.0000242,0.0000270,0.0000286,0.0000308,0.0000413,0.0000354,0.0000378,0.0000406,0.0000716,0.0000489,0.0000507,0.0000517,0.0000553,0.0000582,0.0000620,0.0000650,0.0000826,0.0000875,0.0000892,0.0000850,0.0000878,0.0001125,0.0000960,0.0001014,0.0001487,0.0001752,0.0001149,0.0001196,0.0001505,0.0001296,0.0001350,0.0001694,0.0001451,0.0001827,0.0001551,0.0001619,0.0001657,0.0001722,0.0001775,0.0001832,0.0002284,0.0001931,0.0001985,0.0002186,0.0002117,0.0002164,0.0002253,0.0002316,0.0002375,0.0004086,0.0002730,0.0002678,0.0002736,0.0003131,0.0002801,0.0003602,0.0002857,0.0003021,0.0003393,0.0003524,0.0003891,0.0003957,0.0003747,0.0004234,0.0004288,0.0004396,0.0003704,0.0004508,0.0003853,0.0003935,0.0004838,0.0006553,0.0004228,0.0004332,0.0006803,0.0004508,0.0008318,0.0004717,0.0004821,
Caso 9,0.0000004,0.0000008,0.0000011,0.0000015,0.0000023,0.0000033,0.0000044,0.0000037,0.0000045,0.0000055,0.0000063,0.0000075,0.0000089,0.0000103,0.0000149,0.0000132,0.0000199,0.0000169,0.0000236,0.0000195,0.0000213,0.0000241,0.0000264,0.0000288,0.0000313,0.0000341,0.0000460,0.0000388,0.0000420,0.0000453,0.0000598,0.0000633,0.0000679,0.0000578,0.0000761,0.0000744,0.0000816,0.0000749,0.0000793,0.0000835,0.0000878,0.0000924,0.0000968,0.0001006,0.0001054,0.0001084,0.0001135,0.0001405,0.0001229,0.0001541,0.0001514,0.0001383,0.0001438,0.0001476,0.0001529,0.0001580,0.0001639,0.0001692,0.0001754,0.0001794,0.0001857,0.0001908,0.0001952,0.0002039,0.0003163,0.0003788,0.0002275,0.0002633,0.0002701,0.0002847,0.0002496,0.0002538,0.0002553,0.0004186,0.0002747,0.0002795,0.0002926,0.0004690,0.0003050,0.0003049,0.0007295,0.0005126,0.0005110,0.0005705,0.0005824,0.0003596,0.0003618,0.0004220,0.0006130,0.0005530,0.0003923,0.0004211,0.0004257,0.0004334,0.0006428,0.0005989,0.0007282,0.0006227,0.0005443,0.0004752,
Caso 10,0.0000002,0.0000006,0.0000009,0.0000014,0.0000018,0.0000023,0.0000032,0.0000054,0.0000050,0.0000060,0.0000093,0.0000087,0.0000098,0.0000136,0.0000121,0.0000139,0.0000158,0.0000172,0.0000194,0.0000213,0.0000234,0.0000258,0.0000280,0.0000306,0.0000325,0.0000352,0.0000476,0.0000400,0.0000431,0.0000461,0.0000494,0.0000527,0.0000558,0.0000588,0.0000624,0.0000661,0.0000857,0.0000737,0.0000876,0.0000990,0.0000831,0.0000867,0.0000893,0.0001515,0.0001008,0.0001297,0.0001099,0.0001156,0.0001218,0.0001289,0.0001294,0.0001351,0.0002244,0.0003812,0.0004996,0.0002634,0.0002418,0.0002511,0.0004695,0.0003913,0.0002105,0.0002154,0.0002214,0.0003470,0.0003354,0.0002151,0.0002363,0.0002300,0.0002370,0.0002437,0.0002502,0.0003084,0.0002630,0.0003782,0.0002831,0.0002899,0.0002986,0.0003178,0.0003023,0.0003136,0.0003625,0.0003704,0.0003665,0.0005238,0.0003564,0.0003642,0.0004471,0.0003861,0.0004951,0.0004118,0.0004103,0.0004152,0.0004208,0.0004617,0.0004353,0.0004464,0.0005488,0.0004749,0.0004884,0.0007602,
